trial,lambda,acc,nmi,time,pred
12,0.0001,0.6688107489994283,0.7343260696940659,2.5123836994171143,[7 7 2 ... 3 1 9]
13,0.0001,0.6693825042881647,0.7350516686698471,1.9373772144317627,[3 3 2 ... 7 6 5]
14,0.0001,0.6688107489994283,0.7343260696940659,2.331972599029541,[6 6 5 ... 2 3 4]
15,0.0001,0.6688107489994283,0.7343260696940659,2.3254330158233643,[0 0 3 ... 5 2 7]
16,0.0001,0.6693825042881647,0.7350516686698471,2.249401569366455,[7 7 5 ... 1 3 8]
17,0.0001,0.6688107489994283,0.7343260696940659,3.8979361057281494,[3 3 6 ... 0 4 9]
18,0.0001,0.7039736992567182,0.7463107263580995,2.5620322227478027,[6 6 1 ... 4 7 8]
19,0.0001,0.6686678101772442,0.7340544262034496,3.7863330841064453,[2 2 6 ... 1 4 8]
0,0.01,0.6683819325328759,0.733865456835098,4.197124481201172,[0 0 3 ... 2 4 6]
1,0.01,0.703830760434534,0.7463643885431431,2.7606184482574463,[6 6 4 ... 2 8 7]
2,0.01,0.6683819325328759,0.733865456835098,2.3112549781799316,[0 0 2 ... 6 4 7]
3,0.01,0.703830760434534,0.7463643885431432,3.2004311084747314,[2 2 1 ... 5 0 3]
4,0.01,0.6683819325328759,0.7338654568350979,1.9601795673370361,[9 9 5 ... 2 3 8]
5,0.01,0.6683819325328759,0.7338654568350979,5.10971474647522,[1 1 8 ... 4 7 2]
6,0.01,0.703830760434534,0.7463643885431432,3.306248664855957,[0 0 6 ... 3 4 1]
7,0.01,0.6679531160663236,0.7338112098504621,4.663851737976074,[7 7 1 ... 3 4 8]
8,0.01,0.6683819325328759,0.733865456835098,3.4353299140930176,[6 6 4 ... 1 9 5]
9,0.01,0.703830760434534,0.7463643885431432,3.629708766937256,[0 0 1 ... 5 3 8]
10,0.01,0.6679531160663236,0.7338112098504621,2.331763982772827,[1 1 2 ... 5 9 0]
11,0.01,0.6683819325328759,0.7338654568350979,2.04603910446167,[7 7 6 ... 5 4 8]
12,0.01,0.6683819325328759,0.733865456835098,3.3632023334503174,[7 7 0 ... 5 6 3]
13,0.01,0.6985420240137221,0.7366078257570685,2.9837141036987305,[6 6 9 ... 4 7 8]
14,0.01,0.6683819325328759,0.7338654568350979,2.6812760829925537,[3 3 7 ... 4 1 0]
15,0.01,0.703830760434534,0.7463643885431431,3.133880853652954,[7 7 0 ... 1 6 4]
16,0.01,0.703830760434534,0.7463643885431431,3.090898036956787,[9 9 0 ... 4 6 8]
17,0.01,0.6679531160663236,0.733811209850462,4.468027830123901,[5 5 0 ... 1 2 4]
18,0.01,0.703830760434534,0.7463643885431432,3.745624542236328,[1 1 8 ... 3 7 4]
19,0.01,0.6679531160663236,0.7338112098504621,3.2482290267944336,[0 0 7 ... 8 9 1]
0,1.0,0.6636649514008005,0.7228036818747829,3.9473659992218018,[8 3 9 ... 4 2 6]
1,1.0,0.6636649514008005,0.7228036818747827,3.4052460193634033,[9 1 0 ... 3 6 7]
2,1.0,0.6636649514008005,0.7228036818747827,2.1190290451049805,[8 7 0 ... 1 6 9]
3,1.0,0.6636649514008005,0.722803681874783,2.2892181873321533,[8 3 1 ... 2 5 9]
4,1.0,0.6636649514008005,0.7228036818747826,2.13208270072937,[8 7 3 ... 1 6 9]
5,1.0,0.6636649514008005,0.7228036818747829,2.02325177192688,[7 3 0 ... 2 6 9]
6,1.0,0.6636649514008005,0.7228036818747828,3.162179708480835,[7 6 1 ... 3 9 8]
7,1.0,0.6636649514008005,0.7227736452019906,4.666197776794434,[1 7 8 ... 4 2 5]
8,1.0,0.6636649514008005,0.7228036818747826,2.5972886085510254,[9 0 3 ... 6 1 5]
9,1.0,0.6636649514008005,0.7227736452019906,2.6493747234344482,[9 7 2 ... 0 5 3]
10,1.0,0.6636649514008005,0.7227736452019906,5.090609788894653,[9 5 3 ... 1 8 4]
11,1.0,0.6636649514008005,0.7227736452019908,2.5027496814727783,[9 3 1 ... 4 8 6]
12,1.0,0.6636649514008005,0.7227736452019906,3.948375940322876,[0 8 3 ... 5 2 6]
13,1.0,0.6636649514008005,0.7228036818747827,2.109962224960327,[9 3 0 ... 2 8 6]
14,1.0,0.6636649514008005,0.7227736452019907,5.194095611572266,[9 4 7 ... 1 0 5]
15,1.0,0.6636649514008005,0.7228036818747827,2.2439846992492676,[8 6 0 ... 4 5 9]
16,1.0,0.6636649514008005,0.7227736452019906,2.319946765899658,[9 1 2 ... 6 5 4]
17,1.0,0.6636649514008005,0.7228036818747826,2.3253767490386963,[6 1 8 ... 9 2 7]
18,1.0,0.6636649514008005,0.7227736452019907,4.02985405921936,[8 3 4 ... 0 6 1]
19,1.0,0.6636649514008005,0.7228036818747826,4.86421012878418,[9 0 3 ... 1 7 2]
0,100.0,0.6590909090909091,0.7200307223091468,2.691661834716797,[9 2 5 ... 6 1 8]
1,100.0,0.6590909090909091,0.7200307223091468,2.4014151096343994,[9 4 3 ... 0 2 5]
2,100.0,0.6590909090909091,0.720030722309147,2.283303737640381,[9 5 7 ... 4 1 6]
3,100.0,0.6590909090909091,0.7199277950332574,3.772341728210449,[8 0 1 ... 6 9 7]
4,100.0,0.6590909090909091,0.7199580278381108,2.6353578567504883,[9 1 5 ... 6 0 3]
5,100.0,0.6590909090909091,0.7199580278381108,2.6481246948242188,[7 0 6 ... 2 4 8]
6,100.0,0.6590909090909091,0.7199277950332572,1.906130313873291,[9 0 4 ... 5 2 7]
7,100.0,0.6590909090909091,0.7199580278381108,2.6939425468444824,[9 4 2 ... 3 6 8]
8,100.0,0.6590909090909091,0.7199580278381108,3.554579496383667,[9 1 4 ... 0 8 7]
9,100.0,0.6590909090909091,0.7199580278381107,2.897709608078003,[9 6 4 ... 1 3 8]
10,100.0,0.6590909090909091,0.7199580278381107,2.8932945728302,[9 5 3 ... 7 1 8]
11,100.0,0.6590909090909091,0.7200004872083131,2.572192430496216,[9 8 1 ... 2 6 0]
12,100.0,0.6590909090909091,0.720000487208313,3.5815982818603516,[9 4 7 ... 2 0 1]
13,100.0,0.6590909090909091,0.7199277950332572,2.703057050704956,[9 0 3 ... 6 1 7]
14,100.0,0.6590909090909091,0.7199277950332572,2.1560778617858887,[9 0 2 ... 6 4 7]
15,100.0,0.6590909090909091,0.7200004872083132,1.6282873153686523,[9 2 0 ... 3 6 5]
16,100.0,0.6590909090909091,0.7199277950332573,2.7188210487365723,[9 8 1 ... 3 4 7]
17,100.0,0.6590909090909091,0.720030722309147,2.6348462104797363,[0 6 2 ... 3 7 9]
18,100.0,0.6590909090909091,0.720000487208313,3.5419137477874756,[9 0 1 ... 6 8 2]
19,100.0,0.6590909090909091,0.7200307223091469,2.288243532180786,[7 3 6 ... 0 5 9]
0,10000.0,0.6590909090909091,0.7199705946066616,2.133965015411377,[9 7 5 ... 4 3 8]
1,10000.0,0.6592338479130933,0.7201529186404817,2.4914891719818115,[0 8 1 ... 2 4 7]
2,10000.0,0.6590909090909091,0.7199705946066617,1.592512845993042,[9 0 5 ... 1 3 4]
3,10000.0,0.6592338479130933,0.7200927855318461,3.287310838699341,[9 0 8 ... 3 5 2]
4,10000.0,0.6590909090909091,0.7199705946066616,3.420576333999634,[9 6 5 ... 4 3 7]
5,10000.0,0.6590909090909091,0.7199705946066616,2.4116721153259277,[8 9 3 ... 4 1 5]
6,10000.0,0.6590909090909091,0.7199705946066616,2.1573421955108643,[9 1 5 ... 3 2 4]
7,10000.0,0.6590909090909091,0.7199580278381107,2.7137582302093506,[9 1 6 ... 2 4 8]
8,10000.0,0.6590909090909091,0.7198979046995622,4.147482395172119,[9 5 3 ... 1 6 8]
9,10000.0,0.6592338479130933,0.7200927855318462,2.673022508621216,[3 0 1 ... 5 7 2]
10,10000.0,0.6590909090909091,0.7199705946066616,3.269927978515625,[9 7 3 ... 4 5 6]
11,10000.0,0.6590909090909091,0.7199705946066617,1.6535582542419434,[9 0 7 ... 1 4 8]
12,10000.0,0.6592338479130933,0.7201529186404815,3.4969260692596436,[9 1 8 ... 2 5 7]
13,10000.0,0.6592338479130933,0.7201226808197342,3.1488113403320312,[9 0 1 ... 5 3 7]
14,10000.0,0.6590909090909091,0.719897904699562,2.7691948413848877,[6 9 1 ... 0 8 7]
15,10000.0,0.6590909090909091,0.7198979046995622,2.688584566116333,[9 2 0 ... 1 3 4]
16,10000.0,0.6590909090909091,0.7198979046995623,3.1682167053222656,[2 8 6 ... 4 0 7]
17,10000.0,0.6592338479130933,0.7201529186404816,3.1454970836639404,[9 7 0 ... 1 3 4]
18,10000.0,0.6590909090909091,0.720030722309147,3.5618538856506348,[1 3 9 ... 0 5 7]
19,10000.0,0.6590909090909091,0.7198979046995622,2.764868974685669,[8 6 1 ... 3 5 4]
0,1000000.0,0.6590909090909091,0.7199705946066616,2.7660202980041504,[9 1 6 ... 2 4 0]
1,1000000.0,0.6590909090909091,0.7199705946066617,3.5283799171447754,[9 2 6 ... 3 1 5]
2,1000000.0,0.6592338479130933,0.7201529186404816,3.972160577774048,[9 1 8 ... 4 3 6]
3,1000000.0,0.6592338479130933,0.720092785531846,2.468079090118408,[9 0 8 ... 5 1 7]
4,1000000.0,0.6592338479130933,0.7200927855318461,2.547870397567749,[0 8 2 ... 4 3 7]
5,1000000.0,0.6592338479130933,0.7200927855318461,2.6746442317962646,[2 0 6 ... 3 9 5]
6,1000000.0,0.6590909090909091,0.720030722309147,4.049907684326172,[0 9 1 ... 3 5 8]
7,1000000.0,0.6592338479130933,0.7200927855318461,3.1183667182922363,[8 0 4 ... 1 3 5]
8,1000000.0,0.6590909090909091,0.7199580278381106,2.8170368671417236,[9 3 0 ... 4 1 8]
9,1000000.0,0.616923956546598,0.7343329097689463,3.1649701595306396,[0 0 7 ... 2 6 3]
10,1000000.0,0.6590909090909091,0.7199705946066618,4.332513093948364,[9 0 1 ... 2 5 3]
11,1000000.0,0.6590909090909091,0.7199705946066618,3.2716050148010254,[8 1 2 ... 4 6 3]
12,1000000.0,0.6590909090909091,0.7199580278381107,3.089771032333374,[3 4 6 ... 0 9 5]
13,1000000.0,0.6592338479130933,0.7201529186404815,2.991335868835449,[9 0 1 ... 3 4 8]
14,1000000.0,0.6592338479130933,0.720092785531846,2.2672955989837646,[8 2 3 ... 5 0 4]
15,1000000.0,0.6590909090909091,0.7199705946066617,4.180284261703491,[0 8 2 ... 4 5 3]
16,1000000.0,0.6592338479130933,0.720092785531846,2.862558126449585,[9 8 2 ... 1 5 0]
17,1000000.0,0.6590909090909091,0.7199705946066617,2.4754645824432373,[0 9 6 ... 4 2 7]
18,1000000.0,0.6592338479130933,0.7200927855318461,2.4660027027130127,[1 0 5 ... 9 3 8]
19,1000000.0,0.6590909090909091,0.719897904699562,4.20230770111084,[1 9 7 ... 3 2 5]
0,100000000.0,0.6592338479130933,0.720092785531846,2.1478474140167236,[9 2 0 ... 5 3 7]
1,100000000.0,0.6592338479130933,0.7201529186404815,2.3836750984191895,[9 0 3 ... 6 1 7]
2,100000000.0,0.6590909090909091,0.7198979046995624,4.5663299560546875,[0 5 1 ... 2 9 7]
3,100000000.0,0.6590909090909091,0.7199705946066618,2.209683418273926,[9 0 2 ... 3 8 6]
4,100000000.0,0.6590909090909091,0.7199705946066617,2.607760190963745,[7 0 1 ... 8 4 6]
5,100000000.0,0.6592338479130933,0.7200927855318461,2.533500909805298,[9 0 7 ... 1 4 6]
6,100000000.0,0.6590909090909091,0.7199705946066617,2.3702075481414795,[0 6 2 ... 3 8 5]
7,100000000.0,0.6590909090909091,0.7199705946066616,3.8000168800354004,[5 2 9 ... 1 3 6]
8,100000000.0,0.616923956546598,0.7343329097689463,1.731497049331665,[6 6 0 ... 2 4 8]
9,100000000.0,0.6590909090909091,0.7200307223091469,2.714872360229492,[0 9 3 ... 5 1 8]
10,100000000.0,0.6592338479130933,0.720092785531846,2.550733804702759,[9 0 4 ... 1 3 5]
11,100000000.0,0.6592338479130933,0.7201529186404815,2.504502058029175,[9 0 1 ... 4 5 7]
12,100000000.0,0.6592338479130933,0.7201529186404815,3.3302855491638184,[0 1 2 ... 4 5 8]
13,100000000.0,0.6590909090909091,0.7198979046995623,2.836463212966919,[9 6 1 ... 2 3 8]
14,100000000.0,0.6590909090909091,0.7199705946066616,3.5674800872802734,[6 7 3 ... 4 5 0]
15,100000000.0,0.6590909090909091,0.7200307223091468,2.3536806106567383,[9 7 4 ... 1 6 8]
16,100000000.0,0.6590909090909091,0.7199705946066617,3.1835427284240723,[9 0 1 ... 7 3 4]
17,100000000.0,0.6590909090909091,0.7200307223091469,2.9249022006988525,[8 9 7 ... 1 0 4]
18,100000000.0,0.6590909090909091,0.7199580278381107,3.126633405685425,[0 2 5 ... 6 1 7]
19,100000000.0,0.6590909090909091,0.7198979046995624,2.8385236263275146,[2 5 1 ... 6 9 7]
