trial,lambda,acc,nmi,time,pred
16,1e-06,0.6416,0.7208961166401952,1.3597002029418945,[6 4 8 ... 9 9 9]
17,1e-06,0.6416,0.7208961166401954,1.01310396194458,[6 1 8 ... 2 2 2]
18,1e-06,0.6416,0.7206531495775155,1.1326587200164795,[9 6 3 ... 8 8 8]
19,1e-06,0.6416,0.7208961166401952,1.1196818351745605,[8 3 7 ... 6 6 6]
0,0.0001,0.6416,0.7206531495775154,1.0501275062561035,[7 1 9 ... 4 4 4]
1,0.0001,0.6416,0.7208694875482238,0.9904556274414062,[8 2 5 ... 7 7 7]
2,0.0001,0.6416,0.7206531495775155,1.0256257057189941,[6 2 9 ... 0 0 0]
3,0.0001,0.6412,0.7208130539220589,1.129185676574707,[2 4 1 ... 9 9 9]
4,0.0001,0.6412,0.7208130539220589,1.4192910194396973,[7 6 3 ... 2 2 2]
5,0.0001,0.641,0.7205531090721797,1.066399097442627,[9 1 6 ... 5 5 5]
6,0.0001,0.6416,0.7206531495775155,1.0083949565887451,[1 3 8 ... 6 6 6]
7,0.0001,0.641,0.7205531090721797,1.1984684467315674,[8 5 2 ... 0 0 0]
8,0.0001,0.6416,0.7206531495775155,1.7445907592773438,[4 0 9 ... 2 2 2]
9,0.0001,0.6416,0.7206531495775154,1.8359553813934326,[1 6 9 ... 7 7 7]
10,0.0001,0.6416,0.7206531495775155,1.236281156539917,[9 0 8 ... 5 5 5]
11,0.0001,0.6416,0.7206531495775155,1.0198357105255127,[9 3 6 ... 1 1 1]
12,0.0001,0.6414,0.7206249247888403,1.0273306369781494,[8 4 5 ... 0 0 0]
13,0.0001,0.641,0.72055310907218,1.8367805480957031,[4 3 7 ... 2 2 2]
14,0.0001,0.6416,0.7206531495775155,1.0348622798919678,[9 7 1 ... 4 4 4]
15,0.0001,0.6414,0.7206095329342087,1.1295180320739746,[9 4 5 ... 1 1 1]
16,0.0001,0.6414,0.7206095329342089,1.1136837005615234,[8 5 3 ... 1 1 1]
17,0.0001,0.6414,0.7206095329342086,1.0793280601501465,[4 5 7 ... 1 1 1]
18,0.0001,0.6412,0.7208130539220589,1.8976855278015137,[0 7 5 ... 4 4 4]
19,0.0001,0.6412,0.720813053922059,2.1935770511627197,[3 8 5 ... 4 4 4]
0,0.01,0.6398,0.7210180139235699,1.0484931468963623,[9 7 3 ... 4 4 4]
1,0.01,0.639,0.7216031093975332,0.9345738887786865,[8 1 6 ... 7 7 7]
2,0.01,0.6398,0.7210180139235699,1.955326795578003,[6 7 8 ... 0 0 0]
3,0.01,0.6402,0.7211713858381427,2.0100629329681396,[3 5 9 ... 6 6 6]
4,0.01,0.6402,0.7211713858381426,1.1417782306671143,[5 2 8 ... 9 9 9]
5,0.01,0.6402,0.7211713858381426,1.0800731182098389,[6 2 9 ... 0 0 0]
6,0.01,0.639,0.7216031093975332,0.8781888484954834,[6 5 1 ... 0 0 0]
7,0.01,0.639,0.7216031093975332,0.8743622303009033,[8 0 3 ... 4 4 4]
8,0.01,0.6402,0.7211713858381424,1.1729488372802734,[5 6 9 ... 0 0 0]
9,0.01,0.6402,0.7211713858381426,1.045283555984497,[1 3 8 ... 7 7 7]
10,0.01,0.6398,0.7210180139235699,1.0442407131195068,[3 8 7 ... 5 5 5]
11,0.01,0.6402,0.7211713858381427,1.2413692474365234,[9 8 5 ... 6 6 6]
12,0.01,0.6396,0.7216665740887844,0.9231548309326172,[5 1 9 ... 3 3 3]
13,0.01,0.6402,0.7211713858381424,1.9158196449279785,[8 7 3 ... 0 0 0]
14,0.01,0.6402,0.7211713858381427,1.8089635372161865,[4 0 7 ... 8 8 8]
15,0.01,0.6396,0.7216665740887843,0.8350694179534912,[8 0 2 ... 7 7 7]
16,0.01,0.6386,0.7214498058964821,0.9187400341033936,[6 5 9 ... 8 8 8]
17,0.01,0.6398,0.7210180139235698,1.1176674365997314,[1 8 9 ... 5 5 5]
18,0.01,0.6398,0.7210180139235699,1.1255319118499756,[3 7 9 ... 2 2 2]
